role,industry,salary_aud,experience_level,remote_friendly,top_skill_1,top_skill_2,top_skill_3,yoy_growth_pct
Data Analyst,Finance & Banking,75809,Graduate (0-1 yrs),Yes,SQL,Power BI,Data Cleaning,18.0
Data Analyst,Manufacturing,82926,Junior (1-3 yrs),No,Power BI,Tableau,SQL,18.6
Data Analyst,Government,102292,Mid (3-5 yrs),Yes,Power BI,Tableau,Data Cleaning,17.7
Data Analyst,Healthcare,107845,Junior (1-3 yrs),Hybrid,SQL,Python,Tableau,12.8
Data Analyst,Finance & Banking,101858,Senior (5+ yrs),Hybrid,SQL,Tableau,Python,19.3
Data Analyst,Manufacturing,88005,Mid (3-5 yrs),Hybrid,Python,SQL,Tableau,15.8
Data Analyst,Tech & SaaS,108688,Junior (1-3 yrs),No,Excel,Power BI,Tableau,15.7
Data Analyst,Consulting,104231,Mid (3-5 yrs),Hybrid,Tableau,Python,Power BI,17.3
Data Analyst,Government,63924,Graduate (0-1 yrs),No,SQL,Data Cleaning,Excel,15.9
Data Analyst,Tech & SaaS,100589,Mid (3-5 yrs),Hybrid,Excel,SQL,Power BI,20.0
Data Analyst,Tech & SaaS,84291,Mid (3-5 yrs),Hybrid,SQL,Excel,Data Cleaning,16.7
Data Analyst,Media & Comms,63971,Graduate (0-1 yrs),Hybrid,Excel,Python,Data Cleaning,13.0
Data Analyst,Consulting,72675,Graduate (0-1 yrs),Hybrid,Tableau,Python,Data Cleaning,14.2
Data Analyst,Tech & SaaS,75000,Senior (5+ yrs),Hybrid,SQL,Power BI,Python,20.8
Data Analyst,Retail & E-commerce,55000,Graduate (0-1 yrs),Yes,Power BI,Tableau,Excel,16.4
Data Analyst,Retail & E-commerce,76565,Junior (1-3 yrs),Yes,Excel,SQL,Python,21.3
Data Analyst,Government,69807,Junior (1-3 yrs),Hybrid,Tableau,Python,SQL,19.7
Data Analyst,Finance & Banking,112141,Senior (5+ yrs),No,Tableau,SQL,Power BI,18.4
Data Analyst,Manufacturing,71379,Junior (1-3 yrs),Hybrid,Power BI,Data Cleaning,SQL,18.8
Data Analyst,Healthcare,55000,Graduate (0-1 yrs),No,SQL,Excel,Python,16.1
Data Analyst,Manufacturing,106984,Junior (1-3 yrs),Hybrid,Python,Excel,SQL,16.1
Data Analyst,Retail & E-commerce,66922,Graduate (0-1 yrs),No,Python,Power BI,Tableau,20.6
Data Analyst,Education,92892,Mid (3-5 yrs),Hybrid,Power BI,Excel,SQL,21.9
Data Analyst,Tech & SaaS,63628,Junior (1-3 yrs),Yes,Power BI,Tableau,Python,18.1
Data Analyst,Government,76834,Junior (1-3 yrs),Yes,Tableau,SQL,Power BI,21.4
Data Analyst,Education,71063,Graduate (0-1 yrs),Hybrid,Power BI,Python,Data Cleaning,24.4
Data Analyst,Media & Comms,55542,Graduate (0-1 yrs),Hybrid,SQL,Power BI,Python,15.5
Data Analyst,Healthcare,74320,Graduate (0-1 yrs),Yes,Excel,Python,Data Cleaning,18.7
Data Analyst,Finance & Banking,62311,Graduate (0-1 yrs),Hybrid,Python,Data Cleaning,Power BI,15.8
Data Analyst,Education,87073,Mid (3-5 yrs),No,Tableau,SQL,Python,17.4
Data Analyst,Manufacturing,75974,Junior (1-3 yrs),Yes,SQL,Excel,Tableau,21.8
Data Analyst,Manufacturing,121806,Mid (3-5 yrs),No,Power BI,Python,Tableau,20.3
Data Analyst,Government,84797,Junior (1-3 yrs),Yes,Data Cleaning,Excel,Tableau,20.5
Data Analyst,Finance & Banking,56689,Graduate (0-1 yrs),Hybrid,Python,Tableau,Excel,14.8
Data Analyst,Manufacturing,105125,Mid (3-5 yrs),No,Data Cleaning,Tableau,Power BI,17.1
Data Analyst,Healthcare,55000,Graduate (0-1 yrs),No,SQL,Excel,Tableau,15.8
Data Analyst,Media & Comms,88132,Junior (1-3 yrs),No,Data Cleaning,SQL,Tableau,19.7
Data Analyst,Tech & SaaS,55000,Graduate (0-1 yrs),Hybrid,Python,Tableau,Power BI,20.9
Data Analyst,Government,70283,Mid (3-5 yrs),Yes,SQL,Excel,Tableau,21.5
Data Analyst,Media & Comms,109940,Senior (5+ yrs),Hybrid,Tableau,Python,Power BI,16.6
Data Analyst,Finance & Banking,120095,Senior (5+ yrs),Yes,Python,Excel,Data Cleaning,18.7
Data Analyst,Government,87570,Junior (1-3 yrs),Hybrid,Power BI,Python,Data Cleaning,16.5
Data Analyst,Finance & Banking,104081,Senior (5+ yrs),Hybrid,Excel,Python,Data Cleaning,13.9
Data Analyst,Healthcare,86921,Mid (3-5 yrs),No,SQL,Data Cleaning,Tableau,19.6
Data Analyst,Government,78527,Senior (5+ yrs),Yes,Tableau,Excel,Data Cleaning,19.2
Data Analyst,Tech & SaaS,74202,Junior (1-3 yrs),Hybrid,Excel,SQL,Python,22.0
Data Analyst,Tech & SaaS,84337,Mid (3-5 yrs),Hybrid,SQL,Excel,Python,18.6
Data Analyst,Retail & E-commerce,108924,Mid (3-5 yrs),No,Tableau,Data Cleaning,SQL,11.5
Data Analyst,Consulting,112692,Senior (5+ yrs),No,Excel,Power BI,Data Cleaning,21.4
Data Analyst,Consulting,55000,Graduate (0-1 yrs),Hybrid,Tableau,Power BI,Python,13.7
Data Analyst,Healthcare,73686,Graduate (0-1 yrs),Hybrid,Power BI,Tableau,Data Cleaning,19.8
Data Analyst,Finance & Banking,79223,Junior (1-3 yrs),No,Excel,Python,SQL,16.4
Data Analyst,Media & Comms,74846,Junior (1-3 yrs),Yes,Python,Excel,Tableau,23.9
Data Analyst,Finance & Banking,94175,Junior (1-3 yrs),Yes,Python,Data Cleaning,Power BI,17.4
Data Analyst,Manufacturing,108501,Mid (3-5 yrs),Hybrid,SQL,Tableau,Excel,19.2
Data Analyst,Consulting,123711,Senior (5+ yrs),No,Tableau,Data Cleaning,Power BI,15.6
Data Analyst,Media & Comms,59377,Graduate (0-1 yrs),Hybrid,Excel,Data Cleaning,Power BI,18.2
Data Analyst,Media & Comms,65896,Graduate (0-1 yrs),No,Excel,Data Cleaning,Power BI,15.4
Data Analyst,Tech & SaaS,73773,Graduate (0-1 yrs),No,Python,Tableau,SQL,20.1
Data Analyst,Media & Comms,107603,Mid (3-5 yrs),Yes,Tableau,Python,Power BI,17.1
Data Analyst,Manufacturing,63805,Graduate (0-1 yrs),Hybrid,SQL,Tableau,Excel,18.1
Data Analyst,Consulting,82215,Junior (1-3 yrs),Hybrid,SQL,Tableau,Excel,15.5
Data Analyst,Manufacturing,68404,Junior (1-3 yrs),No,Tableau,Python,SQL,16.7
Data Analyst,Finance & Banking,83820,Senior (5+ yrs),No,Tableau,Power BI,SQL,19.5
Data Analyst,Retail & E-commerce,104961,Mid (3-5 yrs),No,Python,SQL,Excel,12.8
Data Analyst,Manufacturing,105343,Junior (1-3 yrs),Hybrid,Excel,SQL,Data Cleaning,21.7
Data Analyst,Manufacturing,83919,Junior (1-3 yrs),Hybrid,Power BI,Excel,Python,17.4
Data Analyst,Manufacturing,125065,Senior (5+ yrs),Hybrid,Excel,SQL,Tableau,18.5
Data Analyst,Manufacturing,74147,Graduate (0-1 yrs),Hybrid,Python,Tableau,Power BI,20.3
Data Analyst,Retail & E-commerce,81348,Mid (3-5 yrs),No,SQL,Power BI,Python,19.9
Data Analyst,Education,97653,Mid (3-5 yrs),No,Tableau,Python,Data Cleaning,12.4
Data Analyst,Tech & SaaS,108070,Junior (1-3 yrs),No,Data Cleaning,SQL,Excel,21.0
Data Analyst,Finance & Banking,84462,Junior (1-3 yrs),No,Tableau,SQL,Data Cleaning,18.5
Data Analyst,Finance & Banking,88944,Graduate (0-1 yrs),Yes,Power BI,Python,Excel,18.7
Data Analyst,Consulting,64800,Mid (3-5 yrs),Hybrid,Python,SQL,Data Cleaning,17.2
Data Analyst,Tech & SaaS,105114,Mid (3-5 yrs),Hybrid,Python,Power BI,SQL,15.1
Data Analyst,Manufacturing,86305,Junior (1-3 yrs),Hybrid,Python,Power BI,Tableau,15.3
Data Analyst,Media & Comms,100642,Senior (5+ yrs),No,Data Cleaning,Excel,Tableau,11.0
Data Analyst,Government,93286,Mid (3-5 yrs),Hybrid,Data Cleaning,Power BI,SQL,18.8
Data Analyst,Media & Comms,64800,Mid (3-5 yrs),Hybrid,Python,Tableau,Power BI,14.6
